Well,Sample description 1,Sample description 2,Sample description 3,Sample description 4,Target,Conc(copies/µL),Molecular Weight(pg/µL),Status,Status Reason,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ThresholdSigmaAbove,ThresholdSigmaBelow,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68,TiltCorrected
D11,,,,,2,29.1970310211182,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,583.940612792969,,,31.9697360992432,26.4308471679688,17420,427,16993,6,215,421,16778,0.0408690613324721,,,,,,,,,,,,,,,,,,,,,,,,8903.07458696209,2822.37838209403,2971.42874256927,,,,,30.6108589172363,27.7849006652832,,,,,,,,,,,,,No
D12,,,,,1,50.3759880065918,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,1007.51977539063,,,54.2704887390137,46.4943389892578,15388,645,14743,33,612,693,14050,0.215145883361059,1.77200865745544,,,1.95995397041871,1.58406323954754,2,,,,,,,2,0.886004302491564,,,0.979976985209357,0.792031619773772,46.9778516051677,,,49.6197509484199,44.3359522619154,16143.3271075581,1777.1079092289,2379.27917144117,,,,,52.3613700866699,48.3939590454102,,,1.86789881447769,1.67611839548857,,,0.933949407238846,0.838059197744283,,,48.325755454251,45.6299477560843,No
D12,,,,,2,56.8574981689453,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,1137.14990234375,,,61.0011367797852,52.7283935546875,15388,726,14662,33,612,693,14050,0.215145883361059,,,,,,,,,,,,,,,,,,,,,,,,8857.24013752583,2778.34549310279,3065.14543538581,,,,,58.9697761535645,54.7490005493164,,,,,,,,,,,,,No
E01,,,,,1,0,,Manual,Droplets Analyzed Manually,DQ,NegCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,0,,,0.259790331125259,0,13569,0,13569,0,0,563,13006,0,0,,,,,2,,10005.15234375,,,,81.3343023188782,2,,,,,,,,,,,,1932.40470650191,1932.40470650191,,,,,0.11870214343071,0,,,,,,,,,,,,,No
E01,,,,,2,49.855281829834,,OK,,DQ,NegCtrl,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,997.105651855469,,,53.9810676574707,45.7439117431641,13569,563,13006,0,0,563,13006,0,,,,,,,,4102.294921875,,,,,,,,,,,,,,,,9290.98976343944,2956.27532543198,3219.11298691022,,,,,51.9584693908691,47.7558517456055,,,,,,,,,,,,,No
E02,,,,,1,33.8756141662598,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,677.512268066406,,,37.1755447387695,30.5849208831787,14304,406,13898,10,396,370,13528,0,2.1388304233551,,,2.43805975272175,1.83960126896891,2,,,,,,,2,1.06941525542267,,,1.21902987636087,0.919800634484457,51.677170766978,,,55.1708155342211,48.183525999735,17225.554216056,1913.51263774675,2348.12455614675,,,,,35.5580940246582,32.1955375671387,,,2.29149815940615,1.98616286228451,,,1.14574907970308,0.993081431142253,,,53.4596387108767,49.8947028230793,No
E02,,,,,2,31.6767635345459,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,633.535278320313,,,34.8661460876465,28.4960041046143,14304,380,13924,10,396,370,13528,0,,,,,,,,,,,,,,,,,,,,,,,,9369.84242136102,3002.1492222252,3171.31333126264,,,,,33.3029174804688,30.0528526306152,,,,,,,,,,,,,No
E03,,,,,1,7.75630617141724,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,155.126129150391,,,9.48998165130615,6.2491512298584,13544,89,13455,2,87,205,13250,0.0568064040430504,0.856131255626678,,,1.06965782307502,0.642604675897323,2,,4100.22900390625,,,,,2,0.428065624743087,,,0.534828911537512,0.321302337948661,29.9752068340765,,,35.210314343116,24.7400993250369,16267.0936183287,1762.17473642611,1857.48910297139,,,,,8.60685539245605,6.96412754058838,,,0.964576517635501,0.747685981336846,,,0.48228825881775,0.373842990668423,,,32.6339983281109,27.3164153400421,No
E03,,,,,2,18.1194324493408,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),VIC,362.388641357422,,,20.5904483795166,15.6535940170288,13544,207,13337,2,87,205,13250,0.0568064040430504,,,,,,,,3197.99926757813,,,,,,,,,,,,,,,,8528.53091504378,2812.7015799781,2900.05957409791,,,,,19.3795051574707,16.8607063293457,,,,,,,,,,,,,No
E04,,,,,1,30.6884651184082,,OK,,DQ,Unknown,Unknown,ddPCR Supermix for Probes (No dUTP),FAM,613.769287109375,,,33.6272048950195,27.7570476531982,16312,420,15892,9,411,437,15455,0,1.8818736076355,,,2.13267351300989,1.6310736924718,2,,,,,,,2,0.940936801370422,,,1.06633675650494,0.8155368462359,48.4784873317906,,,51.8071868404477,45.1497878231335,16636.8000720796,1825.56164266575,2206.92016034316,,,,,32.1869049072266,29.191930770874,,,2.00983255223425,1.75391465324744,,,1.00491627611713,0.876957326623718,,,50.1768009071426,46.7801737564386,No
